,day,quota_daily,quota_daily_balance
0,2014-11-17,130.0,0.0
1,2014-11-18,130.0,81.55
2,2014-11-19,130.0,103.88
3,2014-11-20,130.0,107.24
4,2014-11-21,130.0,106.59
5,2014-11-24,130.0,60.44
6,2014-11-25,130.0,101.47
7,2014-11-26,130.0,97.05
8,2014-11-27,130.0,100.1
9,2014-11-28,130.0,106.55
10,2014-12-01,130.0,116.02
11,2014-12-02,130.0,96.89
12,2014-12-03,130.0,91.39
13,2014-12-04,130.0,94.79
14,2014-12-05,130.0,104.33
15,2014-12-08,130.0,113.23
16,2014-12-09,130.0,118.41
17,2014-12-10,130.0,110.59
18,2014-12-11,130.0,119.26
19,2014-12-12,130.0,111.38
20,2014-12-15,130.0,119.32
21,2014-12-16,130.0,116.82
22,2014-12-17,130.0,123.52
23,2014-12-18,130.0,110.92
24,2014-12-19,130.0,119.29
25,2014-12-22,130.0,115.72
26,2014-12-23,130.0,123.47
27,2014-12-24,130.0,130.0
28,2014-12-29,130.0,122.5
29,2014-12-30,130.0,136.3
30,2014-12-31,130.0,106.88
31,2015-01-05,130.0,83.11
32,2015-01-06,130.0,109.09
33,2015-01-07,130.0,112.47
34,2015-01-08,130.0,119.22
35,2015-01-09,130.0,113.83
36,2015-01-12,130.0,141.33
37,2015-01-13,130.0,131.16
38,2015-01-14,130.0,122.79
39,2015-01-15,130.0,119.92
40,2015-01-16,130.0,125.78
41,2015-01-19,130.0,133.27
42,2015-01-20,130.0,105.76
43,2015-01-21,130.0,108.65
44,2015-01-22,130.0,127.5
45,2015-01-23,130.0,125.76
46,2015-01-26,130.0,124.13
47,2015-01-27,130.0,118.63
48,2015-01-28,130.0,111.68
49,2015-01-29,130.0,101.14
50,2015-01-30,130.0,111.84
51,2015-02-02,130.0,106.6388
52,2015-02-03,130.0,80.42
53,2015-02-04,130.0,108.33
54,2015-02-05,130.0,91.94
55,2015-02-06,130.0,114.6
56,2015-02-09,130.0,110.01
57,2015-02-10,130.0,111.76
58,2015-02-11,130.0,112.33
59,2015-02-12,130.0,115.9
60,2015-02-13,130.0,108.43
61,2015-02-16,130.0,126.72
62,2015-02-17,130.0,125.97
63,2015-02-25,130.0,118.27
64,2015-02-26,130.0,132.74
65,2015-02-27,130.0,121.88
66,2015-03-02,130.0,118.73
67,2015-03-03,130.0,123.59
68,2015-03-04,130.0,123.78
69,2015-03-05,130.0,121.81
70,2015-03-06,130.0,125.35
71,2015-03-09,130.0,123.35
72,2015-03-10,130.0,128.97
73,2015-03-11,130.0,120.4
74,2015-03-12,130.0,112.81
75,2015-03-13,130.0,113.36
76,2015-03-16,130.0,114.8
77,2015-03-17,130.0,106.76
78,2015-03-18,130.0,112.6
79,2015-03-19,130.0,127.92
80,2015-03-20,130.0,114.51
81,2015-03-23,130.0,108.58
82,2015-03-24,130.0,145.52
83,2015-03-25,130.0,129.06
84,2015-03-26,130.0,139.17
85,2015-03-27,130.0,127.89
86,2015-03-30,130.0,140.85
87,2015-03-31,130.0,142.73
88,2015-04-01,130.0,126.4149
89,2015-04-02,130.0,130.0
90,2015-04-08,130.0,165.0472
91,2015-04-09,130.0,179.7856
92,2015-04-10,130.0,136.1433
93,2015-04-13,130.0,117.941
94,2015-04-14,130.0,123.8353
95,2015-04-15,130.0,118.5191
96,2015-04-16,130.0,110.55
97,2015-04-17,130.0,111.9694
98,2015-04-20,130.0,140.2278
99,2015-04-21,130.0,112.7838
100,2015-04-22,130.0,121.6523
101,2015-04-23,130.0,133.7551
102,2015-04-24,130.0,122.6427
103,2015-04-27,130.0,117.4536
104,2015-04-28,130.0,131.6792
105,2015-04-29,130.0,122.3551
106,2015-04-30,130.0,133.3475
107,2015-05-04,130.0,124.6562
108,2015-05-05,130.0,121.6686
109,2015-05-06,130.0,122.8781
110,2015-05-07,130.0,103.5315
111,2015-05-08,130.0,118.3336
112,2015-05-11,130.0,129.6337
113,2015-05-12,130.0,132.7446
114,2015-05-13,130.0,133.3071
115,2015-05-14,130.0,131.0924
116,2015-05-15,130.0,124.0343
117,2015-05-18,130.0,117.5302
118,2015-05-19,130.0,107.8512
119,2015-05-20,130.0,100.6432
120,2015-05-21,130.0,109.8796
121,2015-05-22,130.0,130.0
122,2015-05-26,130.0,94.1152
123,2015-05-27,130.0,126.5702
124,2015-05-28,130.0,161.2466
125,2015-05-29,130.0,107.0502
126,2015-06-01,130.0,110.6643
127,2015-06-02,130.0,125.195
128,2015-06-03,130.0,127.8195
129,2015-06-04,130.0,132.5966
130,2015-06-05,130.0,136.0897
131,2015-06-08,130.0,135.4
132,2015-06-09,130.0,142.6214
133,2015-06-10,130.0,112.6107
134,2015-06-11,130.0,138.6561
135,2015-06-12,130.0,114.5204
136,2015-06-15,130.0,141.4728
137,2015-06-16,130.0,129.3541
138,2015-06-17,130.0,138.6121
139,2015-06-18,130.0,123.4252
140,2015-06-19,130.0,51.9643
141,2015-06-23,130.0,59.3434
142,2015-06-24,130.0,160.3926
143,2015-06-25,130.0,165.5558
144,2015-06-26,130.0,97.5642
145,2015-06-29,130.0,143.3282
146,2015-06-30,130.0,130.0
147,2015-07-02,130.0,101.9136
148,2015-07-03,130.0,58.5407
149,2015-07-06,130.0,263.8506
150,2015-07-07,130.0,232.5584
151,2015-07-08,130.0,195.87
152,2015-07-09,130.0,164.7532
