,day,quota_daily,quota_daily_balance
0,2014-11-17,105.0,87.32
1,2014-11-18,105.0,97.0
2,2014-11-19,105.0,102.47
3,2014-11-20,105.0,103.04
4,2014-11-21,105.0,103.14
5,2014-11-24,105.0,103.59
6,2014-11-25,105.0,103.45
7,2014-11-26,105.0,102.87
8,2014-11-27,105.0,103.25
9,2014-11-28,105.0,102.07
10,2014-12-01,105.0,102.19
11,2014-12-02,105.0,102.01
12,2014-12-03,105.0,100.43
13,2014-12-04,105.0,100.85
14,2014-12-05,105.0,90.69
15,2014-12-08,105.0,99.75
16,2014-12-09,105.0,97.37
17,2014-12-10,105.0,101.09
18,2014-12-11,105.0,100.17
19,2014-12-12,105.0,101.89
20,2014-12-15,105.0,103.04
21,2014-12-16,105.0,101.07
22,2014-12-17,105.0,101.7
23,2014-12-18,105.0,101.02
24,2014-12-19,105.0,102.52
25,2014-12-22,105.0,101.32
26,2014-12-23,105.0,99.84
27,2014-12-24,105.0,102.08
28,2014-12-29,105.0,105.0
29,2014-12-30,105.0,105.0
30,2014-12-31,105.0,105.0
31,2015-01-05,105.0,87.7
32,2015-01-06,105.0,95.32
33,2015-01-07,105.0,95.91
34,2015-01-08,105.0,98.63
35,2015-01-09,105.0,96.98
36,2015-01-12,105.0,96.3
37,2015-01-13,105.0,98.74
38,2015-01-14,105.0,98.22
39,2015-01-15,105.0,99.3
40,2015-01-16,105.0,95.31
41,2015-01-19,105.0,96.76
42,2015-01-20,105.0,98.7
43,2015-01-21,105.0,95.6
44,2015-01-22,105.0,99.53
45,2015-01-23,105.0,99.79
46,2015-01-26,105.0,98.47
47,2015-01-27,105.0,96.09
48,2015-01-28,105.0,101.32
49,2015-01-29,105.0,99.24
50,2015-01-30,105.0,99.85
51,2015-02-02,105.0,100.4
52,2015-02-03,105.0,102.37
53,2015-02-04,105.0,105.09
54,2015-02-05,105.0,104.02
55,2015-02-06,105.0,104.7
56,2015-02-09,105.0,104.05
57,2015-02-10,105.0,104.02
58,2015-02-11,105.0,103.16
59,2015-02-12,105.0,102.57
60,2015-02-13,105.0,101.63
61,2015-02-16,105.0,105.0
62,2015-02-17,105.0,105.0
63,2015-02-25,105.0,100.38
64,2015-02-26,105.0,102.1
65,2015-02-27,105.0,102.29
66,2015-03-02,105.0,102.87
67,2015-03-03,105.0,102.41
68,2015-03-04,105.0,101.32
69,2015-03-05,105.0,102.57
70,2015-03-06,105.0,102.53
71,2015-03-09,105.0,101.65
72,2015-03-10,105.0,102.37
73,2015-03-11,105.0,101.91
74,2015-03-12,105.0,102.94
75,2015-03-13,105.0,103.41
76,2015-03-16,105.0,97.75
77,2015-03-17,105.0,99.76
78,2015-03-18,105.0,101.72
79,2015-03-19,105.0,103.19
80,2015-03-20,105.0,102.29
81,2015-03-23,105.0,100.02
82,2015-03-24,105.0,99.36
83,2015-03-25,105.0,100.84
84,2015-03-26,105.0,101.29
85,2015-03-27,105.0,99.89
86,2015-03-30,105.0,79.41
87,2015-03-31,105.0,84.46
88,2015-04-01,105.0,87.77
89,2015-04-02,105.0,81.46
90,2015-04-08,105.0,0.0
91,2015-04-09,105.0,0.0
92,2015-04-10,105.0,51.11
93,2015-04-13,105.0,80.71
94,2015-04-14,105.0,78.36
95,2015-04-15,105.0,99.4
96,2015-04-16,105.0,97.9
97,2015-04-17,105.0,83.71
98,2015-04-20,105.0,101.51
99,2015-04-21,105.0,95.29
100,2015-04-22,105.0,81.18
101,2015-04-23,105.0,59.34
102,2015-04-24,105.0,94.83
103,2015-04-27,105.0,85.77
104,2015-04-28,105.0,91.97
105,2015-04-29,105.0,93.76
106,2015-04-30,105.0,82.24
107,2015-05-04,105.0,92.26
108,2015-05-05,105.0,96.99
109,2015-05-06,105.0,97.92
110,2015-05-07,105.0,102.45
111,2015-05-08,105.0,102.61
112,2015-05-11,105.0,93.02
113,2015-05-12,105.0,89.98
114,2015-05-13,105.0,96.35
115,2015-05-14,105.0,96.02
116,2015-05-15,105.0,100.92
117,2015-05-18,105.0,102.1
118,2015-05-19,105.0,94.62
119,2015-05-20,105.0,94.01
120,2015-05-21,105.0,102.74
121,2015-05-22,105.0,98.53
122,2015-05-26,105.0,84.11
123,2015-05-27,105.0,91.06
124,2015-05-28,105.0,104.84
125,2015-05-29,105.0,96.28
126,2015-06-01,105.0,91.86
127,2015-06-02,105.0,97.21
128,2015-06-03,105.0,98.53
129,2015-06-04,105.0,101.36
130,2015-06-05,105.0,92.54
131,2015-06-08,105.0,96.04
132,2015-06-09,105.0,92.87
133,2015-06-10,105.0,94.01
134,2015-06-11,105.0,93.31
135,2015-06-12,105.0,95.53
136,2015-06-15,105.0,98.86
137,2015-06-16,105.0,98.05
138,2015-06-17,105.0,98.05
139,2015-06-18,105.0,105.0
140,2015-06-19,105.0,105.0
141,2015-06-23,105.0,105.19
142,2015-06-24,105.0,96.73
143,2015-06-25,105.0,98.53
144,2015-06-26,105.0,113.6
145,2015-06-29,105.0,107.69
146,2015-06-30,105.0,105.82
147,2015-07-02,105.0,112.72
148,2015-07-03,105.0,117.59
149,2015-07-06,105.0,119.57
150,2015-07-07,105.0,121.21
151,2015-07-08,105.0,124.16
152,2015-07-09,105.0,87.55
153,2015-07-10,105.0,84.4
154,2015-07-13,105.0,98.92
155,2015-07-14,105.0,98.22
156,2015-07-15,105.0,113.18
157,2015-07-16,105.0,101.24
158,2015-07-17,105.0,104.37
159,2015-07-20,105.0,102.48
160,2015-07-21,105.0,103.44
161,2015-07-22,105.0,98.99
162,2015-07-23,105.0,100.66
163,2015-07-24,105.0,99.93
164,2015-07-27,105.0,103.98
165,2015-07-28,105.0,101.96
166,2015-07-29,105.0,97.71
167,2015-07-30,105.0,102.98
168,2015-07-31,105.0,104.4
169,2015-08-03,105.0,103.73
170,2015-08-04,105.0,100.94
171,2015-08-05,105.0,103.26
172,2015-08-06,105.0,103.22
173,2015-08-07,105.0,100.95
174,2015-08-10,105.0,96.88
175,2015-08-11,105.0,99.43
176,2015-08-12,105.0,96.85
177,2015-08-13,105.0,100.26
178,2015-08-14,105.0,102.1
179,2015-08-17,105.0,101.51
180,2015-08-18,105.0,106.48
181,2015-08-19,105.0,103.72
182,2015-08-20,105.0,100.07
183,2015-08-21,105.0,99.91
184,2015-08-24,105.0,106.18
185,2015-08-25,105.0,107.89
186,2015-08-26,105.0,106.15
187,2015-08-27,105.0,102.95
188,2015-08-28,105.0,101.6
189,2015-08-31,105.0,102.07
190,2015-09-01,105.0,105.0
191,2015-09-02,105.0,105.0
192,2015-09-07,105.0,97.69
193,2015-09-08,105.0,99.75
194,2015-09-09,105.0,101.61
195,2015-09-10,105.0,101.82
196,2015-09-11,105.0,101.39
197,2015-09-14,105.0,104.57
198,2015-09-15,105.0,104.45
199,2015-09-16,105.0,102.79
200,2015-09-17,105.0,103.32
201,2015-09-18,105.0,103.78
202,2015-09-21,105.0,100.13
203,2015-09-22,105.0,102.31
204,2015-09-23,105.0,98.02
205,2015-09-24,105.0,98.98
206,2015-09-25,105.0,100.63
207,2015-09-29,105.0,105.0
208,2015-09-30,105.0,105.0
209,2015-10-08,105.0,111.67
210,2015-10-09,105.0,105.59
211,2015-10-12,105.0,102.79
212,2015-10-13,105.0,103.32
213,2015-10-14,105.0,103.66
214,2015-10-15,105.0,104.05
215,2015-10-16,105.0,101.77
216,2015-10-19,105.0,102.69
217,2015-10-20,105.0,101.97
218,2015-10-22,105.0,102.1
219,2015-10-23,105.0,102.69
220,2015-10-26,105.0,104.97
221,2015-10-27,105.0,106.28
222,2015-10-28,105.0,102.5
223,2015-10-29,105.0,102.01
224,2015-10-30,105.0,101.68
225,2015-11-02,105.0,102.27
226,2015-11-03,105.0,103.97
227,2015-11-04,105.0,99.84
228,2015-11-05,105.0,98.87
229,2015-11-06,105.0,103.97
230,2015-11-09,105.0,98.5
231,2015-11-10,105.0,99.26
232,2015-11-11,105.0,99.2
233,2015-11-12,105.0,103.61
234,2015-11-13,105.0,98.34
235,2015-11-16,105.0,98.6
236,2015-11-17,105.0,102.25
237,2015-11-18,105.0,102.22
238,2015-11-19,105.0,100.95
239,2015-11-20,105.0,100.32
240,2015-11-23,105.0,97.33
241,2015-11-24,105.0,101.94
242,2015-11-25,105.0,99.2
243,2015-11-26,105.0,102.08
244,2015-11-27,105.0,102.56
245,2015-11-30,105.0,101.55
246,2015-12-01,105.0,100.16
247,2015-12-02,105.0,97.96
248,2015-12-03,105.0,95.98
249,2015-12-04,105.0,94.9
250,2015-12-07,105.0,95.4
251,2015-12-08,105.0,94.75
252,2015-12-09,105.0,94.72
253,2015-12-10,105.0,94.57
254,2015-12-11,105.0,94.63
255,2015-12-14,105.0,87.7
256,2015-12-15,105.0,90.59
257,2015-12-16,105.0,92.89
258,2015-12-17,105.0,93.67
259,2015-12-18,105.0,91.56
260,2015-12-21,105.0,98.62
261,2015-12-22,105.0,97.79
262,2015-12-23,105.0,97.77
263,2015-12-24,105.0,102.88
264,2015-12-28,105.0,99.55
265,2015-12-29,105.0,100.72
266,2015-12-30,105.0,97.34
267,2015-12-31,105.0,100.68
268,2016-01-04,105.0,101.17
269,2016-01-05,105.0,101.61
270,2016-01-06,105.0,90.6
271,2016-01-07,105.0,95.54
272,2016-01-08,105.0,88.55
273,2016-01-11,105.0,90.28
274,2016-01-12,105.0,93.15
275,2016-01-13,105.0,93.23
276,2016-01-14,105.0,92.37
277,2016-01-15,105.0,95.88
278,2016-01-18,105.0,94.07
279,2016-01-19,105.0,95.12
280,2016-01-20,105.0,92.91
281,2016-01-21,105.0,89.23
282,2016-01-22,105.0,98.39
283,2016-01-25,105.0,100.15
284,2016-01-26,105.0,96.03
285,2016-01-27,105.0,96.06
286,2016-01-28,105.0,97.89
287,2016-01-29,105.0,97.5
288,2016-02-01,105.0,99.63
289,2016-02-02,105.0,92.65
290,2016-02-03,105.0,89.15
291,2016-02-04,105.0,105.0
292,2016-02-05,105.0,105.0
293,2016-02-15,105.0,93.99
294,2016-02-16,105.0,100.44
295,2016-02-17,105.0,96.28
296,2016-02-18,105.0,101.83
297,2016-02-19,105.0,99.61
298,2016-02-22,105.0,96.89
299,2016-02-23,105.0,99.56
300,2016-02-24,105.0,96.07
301,2016-02-25,105.0,99.19
302,2016-02-26,105.0,101.65
303,2016-02-29,105.0,102.66
304,2016-03-01,105.0,99.83
305,2016-03-02,105.0,102.14
306,2016-03-03,105.0,104.64
307,2016-03-04,105.0,104.31
308,2016-03-07,105.0,100.75
309,2016-03-08,105.0,96.62
310,2016-03-09,105.0,95.19
311,2016-03-10,105.0,98.9
312,2016-03-11,105.0,97.05
313,2016-03-14,105.0,96.91
314,2016-03-15,105.0,102.58
